"gender","greek","homeTown","ethnicity","religion","religious","expectedIncome","followElection","president","liberal","environment","terrorism","economicInequality","racism","genderEquality","security","familyVal","gunControl","taxes","bigMoney","illegalImmigrants","farRightPol","farLeftPol","religiousFanatics","terrorists","foreignPowers","notVote","policitalParty","voteMar","voteNov","gradeVsLearning","parentRelationship","workHr","tuition","voteParent"
"Female","No","Big City","Other","Christian",4,200,"some","Bernie Sanders",3,8,7,8,8,8,9,0,2,5,10,0,10,0,6,6,5,8,"Democrat",10,10,4,7,30,0,"Unsure"
"Male","Yes","Big City","Asian","Atheist",4,20000,"some","Bernie Sanders",5,4,7,3,8,8,5,8,7,5,9,5,9,9,9,8,5,9,"Independent",-1,-1,8,10,0,100,"Unsure"
"Female","No","Big City","Asian","Atheist",0,200,"some","Hillary Clinton",4,4,8,8,8,8,6,6,3,8,7,3,7,7,8,9,4,5,"Independent",-1,-1,5,10,0,100,"Unsure"
"Male","No","Big City Subrub","White","Agnostic",2,130,"very closely","Donald Trump",6,3,3,10,0,7,5,0,6,5,10,0,9,9,9,2,0,7,"Republican",10,10,10,6,0,70,"No"
"Female","No","Big City","Other","Christian",3,115,"closely","Bernie Sanders",2,4,8,7,8,10,8,7,10,8,8,2,7,0,6,5,2,6,"Democrat",10,10,7,9,0,10,"Unsure"
"Female","No","Big City Subrub","Asian","Other Religion",0,70,"some","Hillary Clinton",2,10,10,7,10,7,9,3,10,9,6,7,6,4,5,9,8,2,"Independent",-1,-1,10,10,5,10,"No"
"Male","Yes","Big City Subrub","White","Atheist",0,200,"very closely","Bernie Sanders",1,8,4,7,8,5,1,0,7,6,10,0,10,0,10,3,6,4,"Democrat",10,10,8,9,0,100,"Yes"
"Male","No","Big City Subrub","Asian","Christian",2,1000,"closely","Bernie Sanders",5,5,10,7,8,7,6,3,0,8,7,4,8,5,6,8,8,10,"Democrat",10,10,8,10,0,100,"Yes"
"Male","Yes","Big City Subrub","Other","Christian",0,900,"some","Marco Rubio",8,2,4,1,0,1,4,3,0,8,3,1,1,5,3,2,3,4,"Independent",8,5,3,10,0,30,"Unsure"
"Male","No","Medium City","White","Agnostic",1,300,"very closely","Bernie Sanders",4,8,8,7,5,5,3,0,7,0,10,0,0,0,0,0,5,10,"Democrat",8,8,8,10,0,100,"No"
"Male","No","Medium City","Asian","Buddhist",2,200,"some","Bernie Sanders",3,5,9,2,7,5,2,6,7,6,6,6,4,3,2,7,6,2,"Democrat",4,5,7,6,35,100,"Unsure"
"Female","No","Big City","Other","Other Religion",2,50,"some","Bernie Sanders",1,7,2,7,10,10,10,0,7,3,10,0,8,0,9,1,1,5,"Democrat",10,8,6,9,0,100,"Unsure"
"Male","No","Big City Subrub","Other","Atheist",0,75,"very closely","Bernie Sanders",1,6,3,9,9,8,2,0,9,9,8,2,6,2,7,5,4,7,"Democrat",9,10,4,3,0,100,"Yes"
"Male","No","Big City","Asian","Other Religion",1,300,"Not at all","Unsure",5,5,7,8,5,5,2,2,5,8,8,2,5,5,5,2,5,5,"Other",-1,-1,3,7,0,100,"Unsure"
"Female","No","Big City","Asian","Atheist",0,30,"Not at all","Hillary Clinton",3,8,10,6,4,10,2,3,10,9,7,4,8,9,3,10,5,8,"Democrat",-1,-1,6,6,20,100,"Yes"
"Male","No","Small Town","White","Christian",1,80,"closely","Bernie Sanders",3,10,8,9,3,2,2,2,7,7,10,0,10,0,7,5,5,0,"Democrat",10,10,3,8,0,100,"Yes"
"Female","No","Big City","Asian","Atheist",1,900,"some","Bernie Sanders",1,9,9,10,10,10,6,9,10,10,9,7,10,10,10,7,8,10,"Democrat",10,10,7,7,15,0,"Yes"
"Male","Yes","Small Town","White","Christian",8,90,"very closely","Ted Cruz",10,2,10,1,8,2,8,10,0,9,7,6,3,10,0,8,7,3,"Republican",9,10,7,8,0,90,"Yes"
"Male","Yes","Small Town","Asian","Christian",1,100,"some","Donald Trump",9,1,8,9,4,3,2,6,2,6,2,3,3,0,5,4,4,1,"Republican",5,6,3,2,20,40,"No"
"Male","No","Big City","Asian","Atheist",2,300,"some","Unsure",2,10,5,7,10,8,3,2,8,8,3,1,3,6,10,10,1,6,"Other",-1,-1,7,10,0,30,"Unsure"
"Male","No","Big City","Asian","Hindu",5,300,"some","Unsure",4,7,9,7,6,6,4,3,6,5,8,3,5,5,8,9,7,9,"Democrat",-1,-1,6,9,0,100,"Unsure"
"Female","No","Big City Subrub","Asian","Muslim",3,70,"very closely","Bernie Sanders",1,3,5,10,10,10,8,2,10,3,10,0,8,0,8,10,4,6,"Independent",-1,-1,4,6,15,80,"Yes"
"Male","No","Big City","Asian","Other Religion",0,50,"Not at all","Marco Rubio",0,2,4,7,5,4,5,7,5,4,6,7,4,5,3,6,4,4,"Other",-1,-1,2,2,15,40,"No"
"Male","No","Big City","Asian","Christian",3,40,"Not at all","Unsure",5,7,9,5,9,7,6,5,9,7,7,7,6,5,7,9,8,5,"Independent",-1,-1,5,5,0,100,"Unsure"
"Male","No","Small Town","Other","Agnostic",2,60,"very closely","Unsure",0,8,3,9,10,10,2,0,10,7,6,3,10,7,3,2,7,10,"Democrat",0,10,7,10,10,0,"Unsure"
"Female","No","Big City","Asian","Agnostic",0,10000,"Not at all","Unsure",0,10,10,10,10,10,8,0,0,10,0,0,0,0,0,0,0,0,"Republican",-1,-1,10,10,10,100,"Unsure"
"Female","No","Big City","Asian","Atheist",0,100,"some","Hillary Clinton",5,10,10,10,10,10,7,5,10,10,7,4,7,7,2,3,2,7,"Other",-1,-1,5,10,0,100,"Unsure"
"Female","No","Big City","Other","Christian",3,106,"some","Bernie Sanders",3,7,6,7,7,8,10,5,6,8,10,3,7,7,9,6,7,9,"Democrat",10,10,5,6,5,10,"Yes"
"Male","No","Big City","Asian","Agnostic",0,10000,"some","Donald Trump",2,5,6,6,6,8,7,6,0,7,2,5,5,5,5,5,3,6,"Other",-1,-1,10,6,0,100,"Unsure"
