"gender","height","weight","shoeSize","schoolYear","pets","siblings","speed","cash","sleep","shoeNums","ageMother","ageFather","random","love","charity"
"female",63,108,6.5,"Freshman",7,4,90,30,8,8,49,49,4,"few",100
"male",71,189,11.5,"Freshman",1,1,95,37,8,4,55,62,1,"few",70
"female",67,190,10,"Freshman",1,2,85,0,8,14,59,60,7,"dozens",50
"female",66,135,8,"Freshman",0,2,100,80,10,25,53,55,6,"dozens",100
"male",68,130,9.5,"Freshman",1,2,95,25,7.5,4,40,43,3,"one",100
"female",68,140,8,"Freshman",3,0,95,200,6,27,50,55,10,"few",100
"female",68,142,9,"Freshman",0,2,80,70,7.5,20,53,54,5,"few",65
"female",70,150,10,"Freshman",1,2,100,70,5.5,15,48,54,9,"few",50
"male",70,155,10.5,"Freshman",3,1,160,100,7,8,59,63,7,"hundreds",60
"male",66,182,9.5,"Sophomore",0,3,102,13,5,5,45,50,2,"one",85
"female",63,160,9,"Freshman",1,1,80,10,10,20,53,52,9,"dozens",50
"female",66,128,10,"Freshman",5,2,95,100,8,8,48,48,7,"thousands",70
"female",65,126,9.5,"Freshman",0,0,75,35,7,4,52,53,9,"few",33
"male",68,137,10,"Sophomore",0,1,165,50,6.5,4,49,53,4,"one",0
"male",74,190,13,"Sophomore",5,2,115,80,8,15,58,57,5,"few",20
"female",68,145,12,"Freshman",7,1,90,20,8,10,63,62,4,"few",15
"male",74,170,12,"Freshman",0,2,85,54,7.5,4,50,51,7,"few",50
"female",60,108,5,"Sophomore",4,4,90,10,7.5,10,60,59,7,"few",45
"female",65,133,8.5,"Freshman",0,2,85,10,8,6,56,54,8,"few",90
"male",71,160,10.5,"Sophomore",3,2,92,35,5.5,5,57,55,7,"one",1
"female",66,175,9,"Freshman",4,3,95,62,7,15,49,51,7,"thousands",100
"female",65,98,6.5,"Freshman",3,0,50,100,6,7,47,48,4,"one",50
"female",71,120,7,"Junior",0,3,100,70,7,30,46,50,6,"few",5
"female",62,120,7,"Freshman",0,1,85,2,8,25,49,54,4,"one",20
"male",66,140,8.5,"Sophomore",1,1,97,200,6,3,40,46,9,"few",25
"female",65,138,8.5,"Freshman",5,2,80,25,9,15,47,49,7,"few",65
"female",64,120,8.5,"Freshman",2,4,85,49,7,10,46,46,5,"few",70
"female",66,160,9,"Freshman",6,2,85,40,7.5,15,46,47,5,"one",90
"female",74,80,7,"Senior",3,0,80,5,8,5,46,49,7,"one",20
