"gender","height","weight","shoeSize","shoeNums","schoolYear","pets","siblings","speed","cash","sleep","ageMother","ageFather","random","love","charity"
"female",66,110,7.5,10,"Sophomore",1,2,100,40,8,51,55,6,"few",50
"female",62,169,7,12,"Sophomore",4,0,20,15,7.5,35,36,3,"few",90
"male",74,190,11,10,"Sophomore",0,0,120,5,7.5,43,44,7,"one",10
"male",70,160,10,6,"Sophomore",1,3,90,40,6.5,51,50,9,"one",15
"female",66,155,9,10,"Freshman",2,2,82,120,8,44,48,4,"few",80
"female",67,140,8.5,11,"Freshman",12,3,95,63,7,48,48,8,"few",77
"female",63,117,5.5,10,"Freshman",0,1,90,55,5.5,54,57,4,"one",70
"female",62,130,7,10,"Freshman",6,2,90,60,5.5,52,49,6,"few",40
"male",68,135,8.5,3,"Junior",2,2,80,5,7,40,45,6,"one",100
"female",63,96,6,3,"Freshman",0,1,66,10,7,40,47,7,"few",25
"female",63,170,9.5,6,"Sophomore",0,5,90,2,6.5,53,64,7,"few",10
"female",64,120,7,20,"Junior",1,1,90,200,7,49,49,7,"hundreds",100
"female",65,145,9,12,"Junior",6,3,95,300,7,53,55,5,"few",60
"male",72,167,10,3,"Junior",5,6,90,1000,6,52,57,10,"thousands",0
"female",64,140,10,6,"Senior",0,2,90,10,7,55,54,8,"few",20
"male",68,130,7,3,"Freshman",6,0,81,100,7,44,46,6,"few",80
"male",69,162,10,8,"Sophomore",1,1,120,45,8,56,53,1,"few",90
"female",64,122,8,46,"Sophomore",2,0,100,200,8,43,41,7,"one",35
"male",73,145,11,5,"Sophomore",1,1,122,0,7,54,58,8,"few",20
"female",64,175,9,20,"Sophomore",0,2,60,15,8,58,65,5,"hundreds",100
"female",67,177,9,12,"Sophomore",3,1,120,6,5.5,45,45,8,"few",50
"female",60,98,6.5,10,"Freshman",0,2,85,300,7,41,41,9,"one",45
"female",63,118,6,25,"Sophomore",1,2,50,1000,7.5,43,55,5,"one",100
"male",72,175,10.5,8,"Sophomore",10,1,155,4,9,48,51,9,"millions",20
"female",65,139,4.5,6,"Freshman",0,0,80,1000,7,45,45,8,"few",80
"female",64,160,8.5,5,"Freshman",4,1,100,50,8,38,38,4,"hundreds",80
"female",67,160,10,10,"Sophomore",0,2,90,300,7,55,65,4,"one",100
"female",64,120,7.5,20,"Freshman",3,2,80,6,7,47,49,7,"one",100
"male",72,152,11.5,6,"Sophomore",2,3,90,8,7,48,49,9,"one",60
"female",62,106,4,12,"Sophomore",1,0,60,150,6.5,45,45,9,"few",50
"male",71,129,11.5,5,"Junior",0,2,110,17,7,51,59,10,"millions",20
"female",62,103,6,11,"Sophomore",3,1,60,800,6,49,53,5,"few",10
"male",72,175,13,4,"Junior",2,2,105,15,6,47,51,7,"thousands",10
"male",67,139,9,6,"Freshman",0,0,87,50,7.5,44,44,2,"few",50
"female",60,110,6.5,20,"Sophomore",3,0,80,15,7,55,59,6,"few",50
"male",67,180,9,5,"Freshman",1,2,60,22,6.5,44,46,6,"few",85
"male",71,217,11.5,5,"Sophomore",0,2,100,85,7,52,54,3,"dozens",50
"female",65,130,7,13,"Sophomore",0,0,80,5,6,52,50,8,"one",30
"male",72,270,12,3,"Sophomore",4,3,140,200,8,60,53,9,"thousands",10
"male",74,177,11,10,"Sophomore",2,2,105,1,7,53,52,5,"few",50
"female",65,125,7.5,15,"Sophomore",0,1,75,31,8,51,53,4,"dozens",50
"female",64,110,7.5,70,"Freshman",2,1,90,50,8,49,51,3,"thousands",90
"male",73,144,8,8,"Sophomore",0,0,80,32,7,41,45,7,"dozens",52
"male",70,185,11,10,"Junior",0,3,80,35,8.5,46,52,8,"few",90
"female",62,132,6.5,20,"Sophomore",0,1,80,12,6.5,52,53,8,"few",90
"male",71,145,10.5,7,"Sophomore",5,2,90,76,8,45,45,7,"few",90
"male",72,145,13,7,"Sophomore",3,1,105,25,8,46,50,4,"one",75
