"gender","greek","homeTown","ethnicity","religion","religious","ACT","GPA","partyHr","drinks","sexPartners","relationships","firstKissAge","favLifePeriod","hoursCallParents","tweets","texts","gayMarriage","triedGaySex","abortion","politics","poverty","goodOrWell","parentRelationship","workHr","tuition"
"Female","Yes","suburbs","White","Christian",6,30,3.5,10,16,0,0,17,"College",4,5,25,0,"No",5,5,2,6,9,0,80
"Female","No","Medium_City","White","Christian",7,26,1,8,5,5,2,13,"High_School",9,20,50,0,"Yes",0,4,10,0,10,0,70
"Female","No","suburbs","Hispanic","Christian",8,24,3.2,0,0,1,1,16,"1st_5th_grade",4,0,40,1,"No",5,5,7,7,8,0,60
"Male","No","suburbs","Asian","Buddhist",7,29,3.6,5,0,0,0,0,"High_School",2,0,10,8,"No",5,4,4,8,8,0,100
"Female","Yes","suburbs","White","Jewish",3,31,4,3,0,0,1,14,"College",7,0,50,0,"No",0,4,5,5,10,10,100
"Female","No","big_city","Other","Christian",5,21,3.3,10,5,0,0,15,"College",6,0,20,0,"No",4,0,5,8,7,0,10
"Female","No","Small_Town","White","Christian",2,26,3.5,3,3,6,3,14,"High_School",2,30,50,1,"No",2,4,5,7,9,10,0
"Female","No","Small_Town","White","Christian",9,29,3.7,0,0,0,0,0,"1st_5th_grade",0,5,10,2,"No",9,7,6,0,3,40,90
"Female","No","big_city","Hispanic","Other",3,23,2.3,7,6,0,1,16,"High_School",2,6,17,0,"No",3,3,0,8,10,5,10
"Female","No","suburbs","White","Christian",10,26,3.5,0,0,0,0,18,"College",10,5,50,10,"No",0,5,5,5,5,5,50
"Female","No","big_city","Asian","Atheist",0,31,3.8,4,1,2,2,20,"High_School",3,1,30,7,"No",6,3,4,9,9,0,100
"Female","Yes","suburbs","White","Christian",5,25,3.4,0,0,0,1,13,"1st_5th_grade",10,0,30,0,"No",5,5,7,5,9,0,70
"Female","Yes","Small_Town","White","Christian",7,27,3.5,12,10,0,0,17,"College",3,3,50,2,"No",8,9,9,0,8,0,20
"Female","No","big_city","Asian","Atheist",2,20,3.8,3,1,0,0,0,"middle_school",1,0,40,8,"No",6,6,4,7,10,0,0
"Female","No","suburbs","White","Christian",8,22,3.7,8,10,1,1,17,"College",6,10,15,2,"No",9,5,8,2,10,5,40
"Female","No","Medium_City","Other","Agnostic",3,26,3.5,6,0,1,2,13,"High_School",2,1,20,0,"Yes",2,3,7,5,7,0,10
"Female","No","suburbs","Other","Christian",8,29,4,2,3,0,0,5,"College",5,0,40,6,"No",6,5,6,3,6,15,80
"Female","Yes","suburbs","Other","Christian",3,27,3.1,10,6,5,2,15,"College",4,0,50,8,"No",9,5,5,7,5,25,50
"Female","No","suburbs","White","Christian",5,26,2.9,20,36,2,1,13,"High_School",5,3,50,1,"No",0,1,4,9,9,0,40
"Female","Yes","suburbs","White","Atheist",0,29,3.6,24,50,14,1,13,"0_Kindergarten",4,4,35,0,"Yes",0,6,8,0,2,0,90
"Female","No","big_city","Black","Other",6,23,2.6,4,4,0,2,17,"College",10,50,50,2,"Yes",0,3,5,0,10,10,0
"Male","No","Medium_City","Other","Christian",7,24,3.5,15,20,0,2,15,"College",4,0,20,10,"No",8,8,7,3,9,0,10
"Male","No","suburbs","Other","Jewish",5,23,2.6,10,25,3,3,11,"middle_school",4,2,50,0,"No",0,2,5,4,9,0,90
"Female","Yes","suburbs","White","Christian",3,26,3.7,25,50,10,2,16,"College",2,0,50,0,"No",0,6,6,9,10,10,100
"Male","No","suburbs","Asian","Christian",9,31,3,0,0,0,0,0,"High_School",50,0,40,10,"No",10,8,3,0,10,0,50
"Female","Yes","suburbs","White","Christian",8,29,3.7,12,10,0,0,16,"College",3,0,7,2,"No",10,8,4,4,10,0,10
"Female","Yes","suburbs","White","Jewish",4,28,3.8,10,13,0,0,14,"1st_5th_grade",4,0,30,2,"No",1,5,3,6,9,0,100
"Female","Yes","suburbs","White","Other",3,28,2.9,6,6,5,2,15,"College",3,30,45,0,"No",3,1,3,2,10,10,80
"Female","No","suburbs","Asian","Christian",8,32,4,3,10,2,1,14,"College",25,0,50,5,"No",5,0,3,10,8,0,80
"Female","No","big_city","Black","Christian",5,21,3.3,12,10,4,1,16,"College",15,48,50,0,"No",0,2,3,5,10,10,0
"Male","Yes","suburbs","White","Atheist",0,28,3.3,20,22,12,0,18,"College",1,0,5,0,"No",0,6,4,6,6,0,80
"Female","Yes","big_city","White","Christian",4,28,3.4,3,5,1,2,14,"College",7,4,50,2,"No",5,8,5,6,10,0,100
"Female","No","Medium_City","Black","Christian",9,26,3.9,0,0,0,0,0,"0_Kindergarten",10,0,10,9,"No",9,5,3,4,9,10,90
